URL,Online,Intimacy/personal 0-10,Geographic Location,Mood 0-10 (calm to excited),Visually Colorful 0-10,Format,Description,Timezone,Intensity [0-10],Camera proximity (0 faraway - 10 near),Interior,Iconic (yes/no)
http://212.204.179.70:88/mjpg/video.mjpg,TRUE,5,"schalkhaar,netherlands",3,7,mjpg,"bar, people",1,6,5,TRUE,no
http://75.145.217.140:8082/mjpg/video.mjpg,TRUE,7,"memphis, usa",2,4,mjpg,pond,-5,4,4,FALSE,no
http://78.9.31.140/mjpg/video.mjpg,TRUE,4,"wroclaw, poland",8,,mjpg,"square, people",2,6,7,FALSE,
http://94.42.123.60/mjpg/video.mjpg,TRUE,2,"tarnow, poland",5,,mjpg,"street view, people",2,4,6,FALSE,
http://85.158.74.22/mjpg/video.mjpg,TRUE,3,"ventspils, latvia",5,,mjpg,harbour,3,4,10,FALSE,
http://217.91.58.189:1024/mjpg/video.mjpg,TRUE,5,"Mahlpfuhl, germany",7,,mjpg,"street view, people",1,4,8,FALSE,
http://166.239.210.94:5001/mjpg/1/video.mjpg,TRUE,2,"doylestown, usa",3,9,mjpg,billboard,-5,5,5,FALSE,yes
http://129.237.112.65/mjpg/1/video.mjpg,TRUE,2,"lawrence, usa",6,4,mjpg,building,-6,6,9,FALSE,yes
http://129.186.220.6/mjpg/video.mjpg,TRUE,8,"Ames, Usa",5,4,mjpg,"school hallway, people",-6,5,8,,no
http://141.35.154.67/mjpg/video.mjpg,TRUE,1,"jena, germany",5,,mjpg,machine part,1,6,2,FALSE,yes
http://110.5.60.140:8081/mjpg/video.mjpg?timestamp=1479508552889,TRUE,7,"Tokyo, Japan",7,3,mjpg,"building, woods",9,7,7,TRUE,no
http://107.193.60.72/mjpg/video.mjpg,TRUE,7,woodland hills,6,8,mjpg,fish tank,-8,5,5,TRUE,yes
http://179.189.237.60:8080/mjpg/video.mjpg,TRUE,2,"barueri, brazil",7,8,mjpg,buildings / server rack?,-3,6,4,FALSE,no
http://166.154.143.98/mjpg/video.mjpg,TRUE,3,"torrance, usa",3,6,mjpg,"road, desert",-8,4,10,FALSE,no
http://24.13.67.63/mjpg/1/video.mjpg,TRUE,8,"park ridge, usa",1,3,mjpg,"door, private house",-6,4,8,FALSE,no
http://94.72.19.56/mjpg/video.mjpg,TRUE,5,"Shushary, usa",3,7,mjpg,moving street camera,-3,7,9,FALSE,no
http://166.143.186.1:5001/mjpg/1/video.mjpg,TRUE,2,"las vegas, usa",4,8,mjpg,billboard,-8,6,5,FALSE,no
http://108.81.77.58:8080/mjpg/video.mjpg,TRUE,6,"miami beach, usa",4,8,mjpg,hotel hallway,-5,6,4,TRUE,yes
http://213.122.75.54:1024/mjpg/video.mjpg,FALSE,,"rowington, england",,,mjpg,church,0,5,,TRUE,no
http://66.214.179.50:8001/mjpg/video.mjpg,TRUE,8,"glendal, usa",2,7,mjpg,daycare,-8,7,5,TRUE,no
http://168.131.109.223/mjpg/video.mjpg,TRUE,8,"Seoul, South Korea",9,7,mjpg,servers/machine,8,8,8,,yes
http://206.176.34.53/mjpg/video.mjpg,TRUE,4,"sioux falls, usa",5,8,mjpg,busy street,-8,7,7,FALSE,no
http://128.10.29.32/mjpg/1/video.mjpg,TRUE,6,"west lafayette, usa",3,5,mjpg,restaurant/airport?,-5,7,6,FALSE,no
http://221.164.13.27/mjpg/video.mjpg,TRUE,1,"syunsen, south korea",8,4,mjpg,landscape,9,8,10,FALSE,no
http://192.33.141.32/mjpg/video.mjpg,TRUE,7,"tuscon, usa",7,0,mjpg,roof top,-7,4,4,FALSE,yes
http://208.87.73.44/mjpg/video.mjpg,TRUE,4,"martin, usa",6,0,mjpg,campus,-8,7,7,FALSE,no
http://166.166.212.11/mjpg/video.mjpg,TRUE,3,"beaumont, usa",3,6,mjpg,hospital landing plateau,-6,6,6,FALSE,no
http://182.52.238.15:81/mjpg/video.mjpg,TRUE,4,"bangkok, thailand",5,5,mjpg,bridge,9,4,7,FALSE,yes
http://70.99.6.20:9000/mjpg/video.mjpg,TRUE,6,"vancouver, usa",3,3,mjpg,office,-8,7,5,TRUE,no
http://208.98.173.20/mjpg/1/video.mjpg,TRUE,,"boise, usa",4,1,mjpg,landscape,-7,6,8,FALSE,yes
http://200.57.16.4:8081/mjpg/video.mjpg,TRUE,5,"Cuauhtemoc, mexico",6,8,mjpg,factory,-6,6,7,TRUE,no
http://200.57.16.4:8083/mjpg/video.mjpg,TRUE,5,"Cuauhtemoc, mexico",6,7,mjpg,factory,-6,6,7,TRUE,no
http://200.57.16.4:8084/mjpg/video.mjpg,TRUE,5,"Cuauhtemoc, mexico",5,8,mjpg,factory,-6,7,7,TRUE,no
http://200.57.16.4:8080/mjpg/video.mjpg,TRUE,5,"Cuauhtemoc, mexico",4,6,mjpg,factory,-6,7,8,TRUE,no
http://87.228.103.5:8080/mjpg/video.mjpg,TRUE,2,"Moscow, Russia",3,5,mjpg,construction site,3,6,9,FALSE,no
http://173.16.182.4:81/mjpg/video.mjpg,TRUE,5,"Springfield, Missoury",4,5,mjpg,factory,-6,7,5,TRUE,yes
http://94.139.68.254:8090/mjpg/video.mjpg,TRUE,2,"Dalen, Norway",5,5,mjpg,mountain,1,3,8,FALSE,no
http://93.87.72.254:8084/mjpg/video.mjpg,TRUE,7,"Bela Crkva, Serbia",6,3,mjpg,market,1,4,6,FALSE,no
http://208.68.126.46/mjpg/video.mjpg,TRUE,,"Cherokee, USA",2,5,mjpg,landscape,-5,3,10,FALSE,yes
http://69.165.113.223/mjpg/video.mjpg,TRUE,,"La Jolla, USA",1,1,mjpg,solar panels,-8,3,8,FALSE,no
http://91.112.176.230:8001/mjpg/video.mjpg,TRUE,0,"Tirol, Austria",1,2,mjpg,machine,1,5,3,TRUE,no
http://188.138.128.226:5000/mjpg/video.mjpg,TRUE,2,"Chisinau, Moldova",3,4,mjpg,parking lot,2,6,8,FALSE,no
http://190.104.250.226/mjpg/video.mjpg,TRUE,1,"Buenos Aires, Argentina",7,4,mjpg,traffic,-3,6,8,FALSE,yes
http://59.126.124.243:8001/mjpg,FALSE,,"Fengyuan, Taiwan",,,mjpg,street,8,7,6,FALSE,no
http://93.153.148.242/mjpg/video.mjpg,TRUE,1,"Kaliningrad, Russia",8,5,mjpg,landscape,2,3,10,FALSE,no
http://200.89.129.237/mjpg/video.mjpg,TRUE,,"mendoza, Argentina",4,1,mjpg,canal,-3,5,6,FALSE,no
http://122.129.127.251/mjpg/video.mjpg,TRUE,6,"Cyberjaya, Malasya",6,4,mjpg,street view,8,7,8,FALSE,no
http://81.166.42.252:84/mjpg/video.mjpg,TRUE,4,"Stavanger, Norway",8,4,mjpg,View on water,1,4,8,FALSE,no
,,,,,,mjpg,,,,,TRUE,no
http://99.227.81.0:8000/mjpg/video.mjpg,TRUE,5,"York Mills, USA",7,0,mjpg,entrance of house,-5,5,3,FALSE,no
http://129.186.133.2/mjpg/video.mjpg,TRUE,5,"Ames, Usa",3,4,mjpg,hallway,-6,7,5,TRUE,no
http://178.255.188.4:8082/mjpg/video.mjpg,TRUE,5,"Piemonte, Italy",5,5,mjpg,garage,1,4,6,FALSE,no
http://198.0.254.151/mjpg/video.mjpg,TRUE,,"McHenry, USA",7,4,mjpg,machine,-6,7,3,,no
http://190.215.38.148:8082/mjpg/video.mjpg,TRUE,,"Santiago, Chile",5,3,mjpg,dam,-4,6,6,FALSE,no
http://190.215.38.147:8084/mjpg/video.mjpg,TRUE,6,"Santiago, Chile",7,4,mjpg,bridge,-4,5,5,FALSE,no
http://97.68.168.156/mjpg/video.mjpg,TRUE,6,"Florida, USA",7,4,mjpg,street,-5,2,4,FALSE,no
http://119.195.110.156/mjpg/video.mjpg,TRUE,3,"Kijang, South Korea",7,6,mjpg,watershore,9,5,6,FALSE,no
http://200.2.228.161:81/mjpg/video.mjpg,TRUE,5,"Puerto Natales, Chile",3,8,mjpg,machine,-4,7,1,TRUE,yes
http://86.43.96.171/mjpg/video.mjpg,TRUE,6,Ireland,2,8,mjpg,church,0,3,6,TRUE,
http://91.221.52.198:82/mjpg/video.mjpg,TRUE,6,"Simferopol', Ukraine",1,7,mjpg,office,2,7,5,TRUE,
http://148.244.68.195/mjpg/video.mjpg,TRUE,7,"Tultepec, Mexico",2,4,mjpg,bathrooms,-6,4,4,TRUE,
http://92.255.239.225/mjpg/video.mjpg,TRUE,7,"kirov, RU",8,7,mjpg,restaurant,3,8,3,TRUE,
http://147.229.26.172/mjpg/video.mjpg,TRUE,5,"Brno, Czech Republic",3,3,mjpg,classroom,2,6,5,TRUE,
http://80.14.17.201/mjpg/video.mjpg,TRUE,5,"Puteaux, France",3,8,mjpg,"helicopter, landing pad",1,7,8,FALSE,
http://130.15.118.94/mjpg/video.mjpg,TRUE,2,"Kingston, USA",,,mjpg,football field,-5,4,9,FALSE,
http://62.28.152.110:82/mjpg/1/video.mjpg,TRUE,4,"Lisboa, Portugal",5,5,mjpg,entrance of house,1,4,7,FALSE,
http://150.214.222.106/mjpg/video.mjpg,TRUE,1,"Almeria, Spain",2,4,mjpg,observatory,1,7,9,FALSE,
http://201.229.12.131:8083/mjpg/video.mjpg,TRUE,5,"Oranjestad, Aruba",,,mjpg,entrance of house,-4,6,6,FALSE,
http://109.173.16.138:83/mjpg/1/video.mjpg,TRUE,2,"Moscow, Russia",,,mjpg,buildings,3,8,8,FALSE,
http://166.239.12.138:81/mjpg/video.mjpg,TRUE,3,"doylestwon, usa",3,8,mjpg,street,-5,6,5,FALSE,
http://213.248.170.138/mjpg/video.mjpg,TRUE,7,"denizli, Turkey",8,6,mjpg,store,2,6,5,TRUE,
http://91.201.117.136/mjpg/video.mjpg,TRUE,2,"Pskov, Russia",8,4,mjpg,roundabout,3,6,7,FALSE,
http://200.2.228.136:83/mjpg/video.mjpg,TRUE,1,"Puerto Natales, Chile",2,5,mjpg,factory,-4,4,5,TRUE,
http://81.133.10.143/mjpg/video.mjpg,TRUE,3,UK,1,6,mjpg,church,0,5,6,TRUE,
http://2.228.68.135/mjpg/video.mjpg,TRUE,7,"Milan, Italy",2,1,mjpg,conference room,1,6,5,TRUE,
http://67.47.8.134:81/mjpg/video.mjpg,TRUE,4,"New Paris, USA",2,5,mjpg,machine,-5,5,3,TRUE,
http://199.189.128.27/mjpg/video.mjpg,TRUE,,"Cordova, Alaska",,,mjpg,satellite dishes,-9,6,9,FALSE,
http://207.115.90.134/mjpg/video.mjpg,TRUE,3,"Seattle, USA",,,mjpg,machine,-8,5,5,TRUE,
http://90.63.132.246:8082/mjpg/video.mjpg,TRUE,2,"Bagnolet, France",1,3,mjpg,machines,1,7,4,TRUE,
http://87.54.226.246/mjpg/video.mjpg,TRUE,3,"tranberg, Denmark",4,6,mjpg,roundabout,1,3,6,FALSE,
http://194.177.238.221/mjpg/video.mjpg,TRUE,2,"Nuuk, Greenland",3,7,mjpg,View on water,-3,3,9,FALSE,
http://185.87.240.168:8080/mjpg/quad/video.mjpg,TRUE,2,"prato, italy",3,7,mjpg,landscape,1,2,10,FALSE,
http://217.92.184.80:8082/jpg/1/image.jpg,TRUE,5,"Berlin, Germany",3,6,mjpg,landing strip,1,5,7,FALSE,
http://193.190.230.96/mjpg/video.mjpg,TRUE,1,"Brussels, Belgium",1,5,mjpg,sky,1,2,10,FALSE,
http://213.82.111.58:8081/mjpg/video.mjpg,TRUE,6,"Milan, Italy",4,7,mjpg,beach / plant,1,5,2,FALSE,
http://50.206.36.37/mjpg/video.mjpg,TRUE,,"Baltimore, USA",,,mjpg,sky,-5,6,1,FALSE,
http://95.111.136.73:82/mjpg/video.mjpg,FALSE,,"Odessa, Ukraine",,,mjpg,cables,2,8,,TRUE,
http://94.92.6.57:81/mjpg/video.mjpg,TRUE,7,"viadana, italy",4,5,mjpg,entrance of house,1,7,5,TRUE,
http://212.114.166.70/mjpg/video.mjpg,TRUE,2,"Munich, Germany",4,5,mjpg,FIELD,1,2,8,FALSE,
http://193.213.13.69/mjpg/video.mjpg,TRUE,2,"Alta, Norway",5,8,mjpg,road,1,6,7,FALSE,
http://139.229.106.69/mjpg/video.mjpg,TRUE,,"tuscon, usa",,,mjpg,mountain/desert,-8,4,10,FALSE,
http://186.67.74.68:8090/mjpg/video.mjpg,TRUE,,"Valparaiso, Chile",,,mjpg,store,-4,6,4,TRUE,
